a. Contributor unique ID,b. Preferred name,FIRST NAME,LAST NAME,c. Variant name,ccc. Source of Name,c1. Variant name 2,cc1. Language of name,ccc1. Source of name 2,d. Nationality,e. Birth date,e. Birth date,f. Death date,f. Death date,g. Role,g1. Role,h. Display Biography,i. Sex,j. Source,j1. Source,jj1. Source,j3. Source 2,jj2. Source 2 “page”,k. Contributor,o. Culture,p. Related Person Name (SPOUSE),p1. Related Person Name (MOTHER),p2. Related Person Name (FATHER)
,"LASTNAME,FIRSTNAME",,,FULL NAME,,,,,,,YEAR,,YEAR,,,"FORMAT (Nationality, role, birth date-hyphen-death date)",GENDER,,,,,Wikidata QID (format http://www.wikidata.org/entity/Q113388358),,,,,
OAINDOD11,"Bala,Alok ",Alok ,Bala,Alok Bala,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବଳ,ଆଲୋକ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387753,O Foundation,Odia people,,,
OAINDOD12,"Bandha,Dayanidhi ",Dayanidhi ,Bandha,Dayanidhi Bandha,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବନ୍ଧ,ଦୟାନିଧି",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387886,O Foundation,,,,
OAINDOD13,"Banik,Rabi ",Rabi ,Banik,Rabi Banik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବଣିକ,ରବି",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388243,O Foundation,Odia people,,,
OAINDOD14,"Baral,Ashok Kumar",Ashok Kumar,Baral,Ashok Kumar Baral,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବରାଳ,ଅଶୋକ କୁମାର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387774,O Foundation,Odia people,,,
OAINDOD15,"Barik,Ashok Kumar",Ashok Kumar,Barik,Ashok Kumar Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ଅଶୋକ କୁମାର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387775,O Foundation,Odia people,,,
OAINDOD16,"Barik,Babita ",Babita ,Barik,Babita Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ବବିତା",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387791,O Foundation,Odia people,,,
OAINDOD17,"Barik,Biswanath ",Biswanath ,Barik,Biswanath Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ବିଶ୍ବନାଥ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387847,O Foundation,Odia people,,,
OAINDOD18,"Barik,Dillipkumar ",Dillipkumar ,Barik,Dillipkumar Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ଦିଲ୍ଲୀପ କୁମାର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387907,O Foundation,Odia people,,,
OAINDOD19,"Barik,Jayashree ",Jayashree ,Barik,Jayashree Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ଜୟଶ୍ରୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113387986,O Foundation,Odia people,,,
OAINDOD20,"Barik,Kubera ",Kubera ,Barik,Kubera Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,କୁବେର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388024,O Foundation,Odia people,,,
OAINDOD21,"Barik,Mrutyunjay ",Mrutyunjay ,Barik,Mrutyunjay Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ମୃତ୍ୟୁଞ୍ଜୟ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388111,O Foundation,Odia people,,,
OAINDOD22,"Barik,Om Prakash",Om Prakash,Barik,Om Prakash Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ଓମ୍ ପ୍ରକାଶ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388154,O Foundation,Odia people,,,
OAINDOD23,"Barik,Samir Kumar",Samir Kumar,Barik,Samir Kumar Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ସମୀର କୁମାର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388346,O Foundation,Odia people,,,
OAINDOD24,"Barik,Santosh Kumar",Santosh Kumar,Barik,Santosh Kumar Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ସନ୍ତୋଷ କୁମାର",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,graphic artist,,Indian contemporary graphic artist,male,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388367,O Foundation,Odia people,,,
OAINDOD25,"Barik,Saraswati ",Saraswati ,Barik,Saraswati Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ସରସ୍ୱତୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388378,O Foundation,Odia people,,,
OAINDOD26,"Barik,Sasmita ",Sasmita ,Barik,Sasmita Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ସସ୍ମିତା",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388392,O Foundation,Odia people,,,
OAINDOD27,"Barik,Seemashri ",Seemashri ,Barik,Seemashri Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ସୀମାଶ୍ରୀ",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388410,O Foundation,Odia people,,,
OAINDOD28,"Barik,Snehalata ",Snehalata ,Barik,Snehalata Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ସ୍ନେହଲତା",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388433,O Foundation,Odia people,,,
OAINDOD29,"Barik,Sripati ",Sripati ,Barik,Sripati Barik,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation","ବାରିକ,ଶ୍ରୀପତି",Odia,"Artists Directory, Odisha Lalit Kala Akademi; O Foundation",Indian,,,,,painter,,Indian contemporary painter,female,Rakesh Ratan Nath et al.,"Artists Directory, Odisha Lalit Kala Akademi",http://odishalalitkalaakademi.org/Pages/artistsDirectory/,Wikidata,Q113388458,O Foundation,Odia people,,,
